bench,spec,traps_n,trap_method,status,min_run_s,avg_run_s,slowdown_vs_none_min_pct,slowdown_vs_none_avg_pct,components,runs_s
zlib,none,0,ir,ok,15.997,16.135,+0.0,+0.0,"","16.140;16.108;16.036;16.122;16.132;16.103;16.353;15.997;16.237;16.121"
zlib,signed,65,ir,ok,15.929,16.121,-0.4,-0.1,"","15.929;16.115;16.413;15.979;16.211;16.268;16.306;16.024;15.984;15.978"
zlib,unsigned,636,ir,ok,16.456,16.609,+2.9,+2.9,"","16.554;16.819;16.456;16.467;16.531;16.839;16.548;16.468;16.849;16.563"
zlib,both,680,ir,ok,16.442,16.682,+2.8,+3.4,"","17.203;16.442;17.075;16.485;16.661;16.518;16.722;16.571;16.500;16.646"
zlib,divide,2,ir,ok,15.982,16.180,-0.1,+0.3,"","16.128;16.194;16.253;16.263;16.054;16.275;16.303;16.360;15.987;15.982"
zlib,shift,21,ir,ok,15.999,16.229,+0.0,+0.6,"","15.999;16.350;16.328;16.262;16.141;16.403;16.170;16.217;16.271;16.146"
zlib,bounds,38,ir,ok,16.076,16.261,+0.5,+0.8,"","16.693;16.299;16.117;16.394;16.076;16.312;16.210;16.081;16.244;16.182"
zlib,implicit,77,ir,died_rc=132,,,,,"",""
zlib,all-sanitizers,813,ir,died_rc=132,,,,,"signed unsigned divide shift bounds implicit",""
zlib,all-non-firing,739,ir,ok,16.232,16.375,+1.5,+1.5,"signed unsigned divide shift bounds","16.393;16.342;16.259;16.622;16.458;16.438;16.232;16.444;16.260;16.299"
lz4,none,0,ud2,ok,0.483,0.489,+0.0,+0.0,"","0.496;0.490;0.486;0.486;0.488;0.484;0.493;0.483;0.488;0.495"
lz4,signed,0,ud2,ok,0.480,0.494,-0.6,+1.0,"","0.480;0.496;0.497;0.500;0.500;0.494;0.490;0.491;0.496;0.497"
lz4,unsigned,0,ud2,ok,0.474,0.492,-1.9,+0.6,"","0.503;0.491;0.501;0.481;0.492;0.499;0.489;0.474;0.498;0.496"
lz4,both,0,ud2,ok,0.480,0.489,-0.6,+0.0,"","0.490;0.505;0.480;0.480;0.488;0.490;0.488;0.498;0.485;0.490"
lz4,divide,0,ud2,ok,0.480,0.492,-0.6,+0.6,"","0.480;0.483;0.497;0.501;0.500;0.495;0.491;0.496;0.494;0.483"
lz4,shift,0,ud2,ok,0.481,0.493,-0.4,+0.8,"","0.496;0.508;0.505;0.489;0.486;0.488;0.497;0.495;0.481;0.489"
lz4,bounds,0,ud2,ok,0.478,0.492,-1.0,+0.6,"","0.504;0.485;0.489;0.486;0.489;0.478;0.495;0.493;0.505;0.497"
lz4,implicit,0,ud2,ok,0.477,0.489,-1.2,+0.0,"","0.497;0.495;0.477;0.501;0.479;0.487;0.494;0.490;0.479;0.495"
lz4,all-sanitizers,0,ud2,ok,0.479,0.494,-0.8,+1.0,"signed unsigned divide shift bounds implicit","0.501;0.496;0.503;0.488;0.489;0.504;0.498;0.487;0.479;0.499"
lz4,all-non-firing,0,ud2,ok,0.489,0.495,+1.2,+1.2,"signed unsigned divide shift bounds implicit","0.490;0.493;0.489;0.493;0.489;0.490;0.489;0.510;0.500;0.507"
zstd,none,0,ud2,ok,0.199,0.207,+0.0,+0.0,"","0.206;0.207;0.200;0.210;0.199;0.207;0.211;0.209;0.206;0.212"
zstd,signed,199,ud2,ok,0.201,0.208,+1.0,+0.5,"","0.217;0.208;0.207;0.211;0.210;0.201;0.207;0.203;0.214;0.205"
zstd,unsigned,6615,ud2,died_rc=132,,,,,"",""
zstd,both,6794,ud2,died_rc=132,,,,,"",""
zstd,divide,14,ud2,ok,0.200,0.207,+0.5,+0.0,"","0.213;0.200;0.202;0.212;0.207;0.210;0.212;0.204;0.202;0.206"
zstd,shift,192,ud2,ok,0.199,0.205,+0.0,-1.0,"","0.205;0.207;0.205;0.205;0.204;0.201;0.211;0.203;0.199;0.206"
zstd,bounds,481,ud2,ok,0.203,0.208,+2.0,+0.5,"","0.205;0.203;0.210;0.209;0.212;0.210;0.210;0.207;0.208;0.207"
zstd,implicit,314,ud2,died_rc=132,,,,,"",""
zstd,all-sanitizers,7460,ud2,died_rc=132,,,,,"signed unsigned divide shift bounds implicit",""
zstd,all-non-firing,857,ud2,ok,0.206,0.210,+3.5,+1.4,"signed divide shift bounds","0.217;0.206;0.213;0.210;0.208;0.206;0.213;0.208;0.209;0.213"
openssl,none,2,ud2,ok,0.442,0.466,+0.0,+0.0,"","0.468;0.469;0.469;0.470;0.442;0.470;0.468;0.469;0.470;0.469"
openssl,signed,1165,ud2,ok,0.466,0.469,+5.4,+0.6,"","0.466;0.471;0.470;0.468;0.469;0.471;0.469;0.468;0.467;0.467"
openssl,unsigned,5826,ud2,died_rc=132,,,,,"",""
openssl,both,6952,ud2,died_rc=132,,,,,"",""
openssl,divide,34,ud2,ok,0.467,0.470,+5.7,+0.9,"","0.471;0.472;0.468;0.469;0.469;0.467;0.469;0.470;0.471;0.469"
openssl,shift,76,ud2,ok,0.466,0.470,+5.4,+0.9,"","0.471;0.470;0.472;0.470;0.470;0.472;0.466;0.471;0.466;0.471"
openssl,bounds,878,ud2,ok,0.466,0.470,+5.4,+0.9,"","0.470;0.471;0.471;0.468;0.471;0.471;0.466;0.471;0.467;0.471"
openssl,implicit,2014,ud2,died_rc=132,,,,,"",""
openssl,all-sanitizers,9388,ud2,died_rc=132,,,,,"signed unsigned divide shift bounds implicit",""
openssl,all-non-firing,2088,ud2,ok,0.448,0.468,+1.4,+0.4,"signed divide shift bounds","0.467;0.470;0.470;0.471;0.448;0.471;0.471;0.471;0.468;0.471"
polybench,none,0,ir,ok,0.276,0.283,+0.0,+0.0,"","0.285;0.285;0.285;0.285;0.284;0.285;0.284;0.276;0.283;0.279"
polybench,signed,0,ir,ok,0.280,0.284,+1.4,+0.4,"","0.284;0.286;0.284;0.280;0.284;0.285;0.284;0.285;0.282;0.285"
polybench,unsigned,5,ir,ok,0.276,0.283,+0.0,+0.0,"","0.285;0.285;0.283;0.284;0.285;0.284;0.276;0.279;0.281;0.284"
polybench,both,5,ir,ok,0.278,0.282,+0.7,-0.4,"","0.285;0.285;0.278;0.280;0.280;0.284;0.285;0.280;0.279;0.283"
polybench,divide,0,ir,ok,0.278,0.282,+0.7,-0.4,"","0.278;0.280;0.282;0.282;0.285;0.284;0.279;0.284;0.284;0.285"
polybench,shift,0,ir,ok,0.276,0.282,+0.0,-0.4,"","0.284;0.279;0.276;0.282;0.285;0.285;0.282;0.285;0.281;0.281"
polybench,bounds,0,ir,ok,0.280,0.282,+1.4,-0.4,"","0.286;0.285;0.284;0.282;0.280;0.282;0.280;0.281;0.282;0.281"
polybench,implicit,5,ir,ok,0.277,0.282,+0.4,-0.4,"","0.285;0.282;0.283;0.284;0.281;0.277;0.285;0.279;0.279;0.284"
polybench,all-sanitizers,10,ir,ok,0.281,0.284,+1.8,+0.4,"signed unsigned divide shift bounds implicit","0.283;0.285;0.284;0.284;0.284;0.285;0.285;0.281;0.284;0.284"
polybench,all-non-firing,10,ir,ok,0.280,0.284,+1.4,+0.4,"signed unsigned divide shift bounds implicit","0.286;0.285;0.284;0.284;0.280;0.281;0.285;0.281;0.285;0.285"
zlib,none,0,ir,ok,15.872,16.205,+0.0,+0.0,"","16.072;16.109;16.057;15.998;16.181;16.068;16.234;16.159;15.975;16.328;16.053;16.023;16.056;16.111;16.101;16.069;16.309;16.331;16.084;16.035;16.372;16.420;16.066;15.930;16.364;16.056;16.068;16.158;15.872;15.946;16.140;17.202;16.266;16.066;16.493;16.309;16.048;16.202;17.856;15.997"
zlib,signed,65,ir,ok,15.874,16.085,+0.0,-0.7,"","15.955;15.957;15.918;15.955;16.206;16.144;16.157;16.180;15.874;15.906;16.059;16.670;15.894;16.339;15.875;15.946;16.100;16.009;16.295;15.990;16.301;16.091;16.043;16.036;15.970;15.943;16.114;16.077;16.309;16.004;16.019;16.051;16.081;16.439;16.000;16.440;16.030;15.983;15.988;16.045"
