bench,spec,traps_n,trap_method,status,min_run_s,avg_run_s,slowdown_vs_none_min_pct,slowdown_vs_none_avg_pct,components,runs_s
julia_stencil,none,NA,jit,ok,4.152,4.155,+0.0,+0.0,,"4.152;4.158"
julia_stencil,bounds,NA,jit,ok,4.719,4.731,+13.7,+13.9,,"4.719;4.742"
julia_gemm,none,NA,jit,ok,0.921,0.931,+0.0,+0.0,,"0.921;0.942"
julia_gemm,bounds,NA,jit,ok,3.701,3.702,+301.8,+297.6,,"3.701;3.702"
rust_miniz,none,11,panic,ok,13.380,13.396,+0.0,+0.0,,"13.380;13.413"
rust_miniz,overflow,11,panic,ok,13.860,13.861,+3.6,+3.5,,"13.863;13.860"
rust_inflate,none,11,panic,ok,10.185,10.204,+0.0,+0.0,,"10.185;10.224"
rust_inflate,overflow,11,panic,ok,11.122,11.157,+9.2,+9.3,,"11.193;11.122"
swift_nbody,none,0,ud2,ok,2.275,2.331,+0.0,+0.0,,"2.275;2.387"
swift_nbody,checked,89,ud2,ok,11.565,11.584,+408.4,+397.0,,"11.602;11.565"
swift_sha256,none,0,ud2,ok,3.051,3.054,+0.0,+0.0,,"3.058;3.051"
swift_sha256,checked,41,ud2,ok,3.334,3.335,+9.3,+9.2,,"3.336;3.334"
swift_lz77,none,0,ud2,died_rc=137,,,,,,""
swift_lz77,checked,28,ud2,died_rc=137,,,,,,""
