metric,bench,bounds,checked,overflow
slowdown_median_pct,swift_nbody,x,+409.9,x
slowdown_median_pct,swift_sha256,x,+9.5,x
slowdown_median_pct,swift_lz77,x,+4.4,x
slowdown_median_pct,rust_miniz,x,x,+3.6
slowdown_median_pct,rust_inflate,x,x,+9.6
slowdown_median_pct,julia_stencil,+288.6,x,x
slowdown_median_pct,julia_gemm,+309.1,x,x
slowdown_min_pct,swift_nbody,x,+408.9,x
slowdown_min_pct,swift_sha256,x,+9.5,x
slowdown_min_pct,swift_lz77,x,+2.4,x
slowdown_min_pct,rust_miniz,x,x,+3.6
slowdown_min_pct,rust_inflate,x,x,+9.5
slowdown_min_pct,julia_stencil,+281.7,x,x
slowdown_min_pct,julia_gemm,+321.2,x,x
slowdown_avg_pct,swift_nbody,x,+410.3,x
slowdown_avg_pct,swift_sha256,x,+9.5,x
slowdown_avg_pct,swift_lz77,x,+5.4,x
slowdown_avg_pct,rust_miniz,x,x,+3.6
slowdown_avg_pct,rust_inflate,x,x,+9.6
slowdown_avg_pct,julia_stencil,+288.0,x,x
slowdown_avg_pct,julia_gemm,+307.7,x,x
traps_n,swift_nbody,x,89,x
traps_n,swift_sha256,x,41,x
traps_n,swift_lz77,x,30,x
traps_n,rust_miniz,x,x,11
traps_n,rust_inflate,x,x,11
traps_n,julia_stencil,NA,x,x
traps_n,julia_gemm,NA,x,x
