metric,bench,signed,unsigned,both,divide,shift,bounds,implicit,all-sanitizers,all-non-firing
slowdown_median_pct,zlib,-0.3,+2.7,+2.9,+0.2,+0.1,+0.1,x,x,+1.5
slowdown_median_pct,lz4,+3.3,x,x,+0.5,+0.4,+0.9,+1.8,x,+3.2
slowdown_median_pct,zstd,+0.8,x,x,-0.7,-0.6,-1.1,-1.1,x,+1.7
slowdown_median_pct,openssl,+0.0,x,x,+0.0,-0.0,-0.0,x,x,+0.0
slowdown_median_pct,polybench,-0.2,-0.2,-1.1,-0.5,-0.9,-0.9,-0.7,-0.2,+0.0
slowdown_min_pct,zlib,+0.0,+3.1,+3.6,+0.3,+0.5,+0.4,DIED,DIED,+1.7
slowdown_min_pct,lz4,+2.5,DIED,DIED,+1.1,+0.6,+0.8,+2.1,DIED,+3.4
slowdown_min_pct,zstd,+1.2,DIED,DIED,+1.3,+1.8,+0.4,+1.5,DIED,+3.2
slowdown_min_pct,openssl,+0.0,DIED,DIED,+0.1,+0.0,+0.1,DIED,DIED,+0.0
slowdown_min_pct,polybench,+1.4,+0.0,+0.7,+0.7,+0.0,+1.4,+0.4,+1.8,+1.4
slowdown_avg_pct,zlib,-0.7,+2.4,+2.4,-0.2,-0.0,-0.5,DIED,DIED,+1.0
slowdown_avg_pct,lz4,+3.3,DIED,DIED,+0.0,+0.2,+0.6,+1.6,DIED,+3.1
slowdown_avg_pct,zstd,+0.5,DIED,DIED,-0.5,+0.1,-1.1,-0.7,DIED,+1.1
slowdown_avg_pct,openssl,+0.0,DIED,DIED,+0.0,+0.0,+0.0,DIED,DIED,+0.1
slowdown_avg_pct,polybench,+0.4,+0.0,-0.4,-0.4,-0.4,-0.4,-0.4,+0.4,+0.4
traps_n,zlib,65,636,680,2,21,38,77,813,739
traps_n,lz4,52,1428,1483,7,1,149,70,1709,282
traps_n,zstd,199,6615,6794,14,192,481,314,7460,1128
traps_n,openssl,1165,5826,6952,34,76,878,2014,9388,2088
traps_n,polybench,0,5,5,0,0,0,5,10,10
