spec,config,size_mb,traps_in,traps_final,bin_bytes,text_bytes,clang_s,oracle_s,o3_s,backend_link_s,total_compile_s,min_run_s,avg_run_s,runs_s
none,base,8,0,0,1040792,1030005,0,0,0,0,0,1.492,1.527,"1.505;1.574;1.586;1.562;1.509;1.511;1.554;1.534;1.517;1.520;1.557;1.498;1.528;1.569;1.537;1.535;1.505;1.510;1.507;1.523;1.530;1.521;1.520;1.495;1.534;1.492;1.518;1.590;1.514;1.501;1.521;1.516;1.547;1.532;1.541;1.501;1.504;1.532;1.517;1.496"
anf,base,8,3403,3403,1119808,1106949,0,0,0,0,0,1.508,1.552,"1.570;1.559;1.532;1.538;1.569;1.547;1.539;1.573;1.665;1.585;1.535;1.573;1.537;1.514;1.556;1.511;1.520;1.551;1.583;1.549;1.564;1.528;1.584;1.554;1.508;1.546;1.541;1.535;1.558;1.611;1.549;1.555;1.522;1.549;1.533;1.520;1.528;1.539;1.620;1.524"
anf,base2x,8,3403,2569,1099328,1085797,0,0,0,0,0,1.510,1.559,"1.522;1.566;1.583;1.595;1.603;1.519;1.559;1.551;1.585;1.547;1.552;1.529;1.555;1.540;1.536;1.566;1.519;1.558;1.542;1.573;1.544;1.588;1.567;1.537;1.510;1.610;1.563;1.602;1.589;1.559;1.534;1.581;1.615;1.555;1.549;1.541;1.543;1.537;1.553;1.571"
anf,oracle,8,3403,2361,1091136,1078357,0,731.996,0,0,0,1.532,1.565,"1.562;1.568;1.544;1.598;1.539;1.564;1.562;1.565;1.591;1.622;1.585;1.551;1.539;1.544;1.532;1.548;1.563;1.532;1.586;1.586;1.584;1.542;1.600;1.544;1.549;1.598;1.553;1.571;1.562;1.607;1.550;1.565;1.578;1.585;1.534;1.571;1.533;1.594;1.558;1.550"
none,base,64,0,0,1040792,1030005,0,0,0,0,0,11.918,12.111,"12.335;12.260;11.951;12.052;12.036;12.032;12.172;12.336;12.102;12.017;12.221;11.984;12.011;11.946;12.029;12.062;12.789;12.365;12.045;11.984;12.117;11.918;12.043;11.964;12.123;12.039;11.924;12.169;11.940;12.164;12.168;12.212;12.016;12.069;12.405;12.185;11.959;12.004;12.221;12.084"
anf,base,64,3403,3403,1119808,1106949,0,0,0,0,0,12.043,12.227,"12.153;12.150;12.306;12.043;12.968;12.283;12.476;12.184;12.176;12.110;12.102;12.252;12.131;12.123;12.299;12.141;12.131;12.520;12.077;12.122;12.448;12.374;12.095;12.069;12.162;12.245;12.119;12.141;12.155;12.100;12.346;12.392;12.425;12.144;12.087;12.098;12.141;12.121;12.417;12.266"
anf,base2x,64,3403,2569,1099328,1085797,0,0,0,0,0,12.015,12.251,"12.246;12.218;12.664;12.202;12.033;12.661;12.182;12.207;12.217;12.110;12.482;12.164;12.402;12.285;12.672;12.273;12.573;12.148;12.227;12.198;12.144;12.141;12.272;12.440;12.104;12.154;12.185;12.170;12.156;12.193;12.299;12.239;12.134;12.237;12.110;12.153;12.015;12.094;12.161;12.468"
anf,oracle,64,3403,2369,1091136,1078885,0,730.374,0,0,0,12.141,12.311,"12.767;12.173;12.216;12.345;12.141;12.201;12.547;12.287;12.461;12.189;12.365;12.463;12.562;12.447;12.263;12.189;12.416;12.170;12.197;12.198;12.260;12.354;12.179;12.166;12.187;12.279;12.337;12.286;12.259;12.218;12.725;12.289;12.317;12.253;12.250;12.272;12.532;12.262;12.227;12.197"
none,base,256,0,0,1040792,1030005,0,0,0,0,0,47.287,48.123,"47.716;47.454;47.631;47.351;47.666;47.471;47.360;47.330;47.744;47.487;47.287;47.353;47.377;47.504;47.628;47.439;47.399;47.361;47.623;47.696;47.578;47.718;47.416;47.695;47.507;49.963;50.496;48.564;49.877;48.945;48.495;50.531;49.540;48.236;48.745;49.101;48.493;48.791;48.484;48.854"
anf,base,256,3403,3403,1119808,1106949,0,0,0,0,0,47.592,48.661,"49.064;48.676;48.217;47.887;47.901;48.081;48.165;48.144;48.067;47.929;47.831;48.008;47.883;47.954;47.902;47.636;47.958;47.604;47.592;47.751;48.267;47.876;48.110;48.345;49.938;49.062;49.396;49.613;49.130;48.742;50.697;49.157;50.581;50.117;50.049;48.995;49.232;48.943;50.519;49.415"
anf,base2x,256,3403,2569,1099328,1085797,0,0,0,0,0,47.686,48.650,"48.001;47.981;48.476;48.059;48.000;48.000;48.053;48.142;48.269;48.032;47.946;48.062;47.968;47.740;48.125;48.093;48.466;48.130;47.686;48.115;48.184;48.434;48.198;48.226;48.497;48.465;48.591;49.370;48.427;49.794;49.012;50.824;50.736;48.587;48.641;49.757;53.098;49.538;48.631;49.647"
anf,oracle,256,3403,2376,1091136,1079541,0,727.858,0,0,0,48.035,48.963,"48.573;48.275;48.268;48.263;48.542;48.283;48.253;48.538;48.603;48.236;48.768;48.197;48.252;48.221;48.514;48.035;49.448;48.441;48.224;48.521;48.408;48.505;48.478;48.298;49.953;49.178;51.682;48.937;49.170;49.893;50.051;50.947;49.165;48.761;49.094;50.558;49.245;51.025;49.592;49.123"
none,base,64,0,0,1040792,1030005,0,0,0,0,0,11.920,12.213,"12.309;12.283;12.151;12.427;12.203;11.971;12.075;12.122;12.654;12.309;11.932;12.077;12.230;12.265;11.988;12.194;12.051;12.273;12.062;12.103;12.177;12.065;12.582;12.135;12.155;12.201;12.483;12.536;13.013;12.173;12.159;12.225;11.920;12.169;12.255;12.067;12.012;12.085;12.363;12.066"
anf,base,64,3403,3403,1119808,1106949,0,0,0,0,0,12.072,12.452,"12.309;12.547;12.185;12.451;12.287;12.890;12.652;12.562;12.359;12.121;12.072;12.579;12.318;12.792;12.247;12.523;12.130;12.347;12.177;12.716;12.345;12.533;12.794;12.400;12.703;12.797;12.438;12.395;12.282;12.881;12.252;12.671;12.215;12.874;12.163;12.275;12.512;12.567;12.191;12.519"
anf,base2x,64,3403,2569,1099328,1085797,0,0,0,0,0,12.125,12.445,"13.030;12.357;12.162;12.381;12.422;12.978;12.297;12.125;12.786;12.645;12.282;12.210;12.227;13.175;12.279;12.360;12.171;12.976;12.183;12.338;12.815;12.320;12.649;12.600;12.197;12.295;12.364;12.536;12.619;12.144;12.449;12.184;12.911;12.202;12.179;12.253;12.383;12.706;12.374;12.234"
anf,oracle,64,3403,2376,1091136,1077973,0,1418.911,0,0,0,12.124,12.405,"12.326;12.635;12.463;12.513;12.166;12.255;12.205;12.182;12.124;12.187;12.759;12.278;12.202;12.965;12.224;12.213;12.208;12.212;12.595;12.267;12.745;12.165;12.609;12.715;12.658;12.390;12.334;12.952;12.348;12.486;12.480;12.583;12.462;12.653;12.180;12.159;12.318;12.175;12.611;12.187"
