kernel,config,rep,seconds
sha256,oracle,1,0.500095
sha256,base,1,0.494764
sha256,base2x,1,0.503365
sha256,oracle,2,0.502345
sha256,base2x,2,0.503385
sha256,base,2,0.498717
sha256,oracle,3,0.505995
sha256,base,3,0.506603
sha256,base2x,3,0.499664
sha256,base2x,1,0.486241
sha256,oracle,1,0.468170
sha256,base,1,0.507262
sha256,base2x,2,0.512044
sha256,base,2,0.503174
sha256,oracle,2,0.469065
sha256,base2x,3,0.502407
sha256,oracle,3,0.473532
sha256,base,3,0.500038
sha256,oracle,1,0.467822
sha256,base2x,1,0.483174
sha256,base,1,0.501456
sha256,base2x,2,0.486459
sha256,oracle,2,0.472689
sha256,base,2,0.493137
sha256,base,3,0.496831
sha256,base2x,3,0.489653
sha256,oracle,3,0.474406
sha256,oracle,4,0.485714
sha256,base2x,4,0.489987
sha256,base,4,0.497102
sha256,base2x,5,0.491867
sha256,oracle,5,0.473677
sha256,base,5,0.493008
sha256,oracle,6,0.474331
sha256,base2x,6,0.489204
sha256,base,6,0.494772
sha256,base,7,0.494225
sha256,base2x,7,0.495832
sha256,oracle,7,0.479173
sha256,base,8,0.501192
sha256,oracle,8,0.473475
sha256,base2x,8,0.492455
sha256,oracle,9,0.472898
sha256,base2x,9,0.506254
sha256,base,9,0.508218
sha256,base2x,10,0.494854
sha256,oracle,10,0.470642
sha256,base,10,0.498403
