spec,config,size_mb,traps_in,traps_final,bin_bytes,text_bytes,clang_s,oracle_s,o3_s,backend_link_s,total_compile_s,min_run_s,avg_run_s,runs_s
none,base,8,0,0,195832,181446,3.337,0.000,0.000,2.043,5.380,1.977,2.088,"2.070;2.040;2.006;2.063;1.984;2.007;1.979;2.034;2.159;2.082;2.175;2.181;2.219;2.040;2.416;1.979;2.008;2.150;1.977;2.198"
none,base,64,0,0,195832,181446,3.337,0.000,0.000,2.043,5.380,15.759,16.006,"15.862;15.858;15.973;15.924;16.262;15.918;16.004;15.838;16.198;16.469;16.027;16.306;15.846;16.195;16.131;15.759;15.923;15.908;15.800;15.928"
none,base,256,0,0,195832,181446,3.337,0.000,0.000,2.043,5.380,62.887,63.337,"63.480;63.696;63.449;63.243;63.696;63.473;63.396;63.082;63.742;63.289;63.425;63.306;63.136;63.088;63.519;63.344;63.056;63.004;63.435;62.887"
both,base,8,1298,1298,208120,192094,3.509,0.000,0.000,2.281,5.790,2.070,2.161,"2.093;2.070;2.084;2.084;2.348;2.107;2.103;2.354;2.142;2.082;2.259;2.249;2.327;2.087;2.121;2.128;2.103;2.164;2.196;2.119"
both,base,64,1298,1298,208120,192094,3.509,0.000,0.000,2.281,5.790,16.582,16.718,"16.593;16.582;16.714;16.681;16.600;16.597;16.735;16.705;16.764;16.941;16.616;16.822;16.815;16.696;16.818;16.621;16.780;16.961;16.638;16.686"
both,base,256,1298,1298,208120,192094,3.509,0.000,0.000,2.281,5.790,66.202,66.799,"66.731;66.688;66.502;66.202;67.255;67.048;66.970;66.827;66.971;66.759;66.446;67.642;66.940;66.514;66.571;66.428;67.255;66.709;66.863;66.661"
both,base2x,8,1298,1296,212216,197286,3.509,0.000,2.276,2.370,8.155,2.057,2.127,"2.061;2.063;2.127;2.066;2.063;2.064;2.335;2.150;2.174;2.076;2.057;2.320;2.182;2.075;2.242;2.092;2.107;2.115;2.083;2.080"
both,base2x,64,1298,1296,212216,197286,3.509,0.000,2.276,2.370,8.155,16.428,16.551,"16.569;16.613;16.519;16.428;16.490;16.586;16.647;16.484;16.742;16.479;16.587;16.582;16.489;16.485;16.573;16.514;16.586;16.511;16.664;16.479"
both,base2x,256,1298,1296,212216,197286,3.509,0.000,2.276,2.370,8.155,65.605,65.997,"66.290;65.987;65.851;66.144;65.789;65.875;67.017;66.007;66.016;65.810;66.014;65.770;66.077;65.924;66.178;65.827;65.895;65.605;65.978;65.892"
both,oracle,8,1298,1089,224504,207414,3.509,2554.481,2.515,2.570,2563.075,2.058,2.141,"2.330;2.200;2.064;2.075;2.191;2.248;2.247;2.234;2.208;2.058;2.061;2.135;2.139;2.119;2.110;2.062;2.095;2.092;2.084;2.064"
both,oracle,64,1298,1089,224504,207414,3.509,2554.481,2.515,2.570,2563.075,16.475,16.637,"16.573;16.520;16.551;16.879;16.717;16.731;16.490;16.493;16.684;16.545;16.585;16.475;16.752;16.627;16.825;16.512;16.761;16.541;16.840;16.639"
both,oracle,256,1298,1089,224504,207414,3.509,2554.481,2.515,2.570,2563.075,65.726,66.301,"66.303;68.794;66.008;65.921;65.778;65.868;66.638;65.881;66.308;65.751;66.058;66.860;65.928;66.619;66.083;65.726;65.894;66.781;66.818;66.004"
anf,base,8,1385,1385,212360,197734,3.840,0.000,0.000,2.354,6.194,2.078,2.190,"2.111;2.325;2.114;2.106;2.243;2.344;2.078;2.135;2.350;2.256;2.193;2.333;2.347;2.084;2.127;2.119;2.078;2.162;2.154;2.146"
anf,base,64,1385,1385,212360,197734,3.840,0.000,0.000,2.354,6.194,16.587,16.831,"16.694;16.963;16.633;16.672;16.649;16.645;16.697;16.973;17.062;17.126;16.593;16.830;16.614;16.841;16.918;16.814;17.631;16.587;16.912;16.768"
anf,base,256,1385,1385,212360,197734,3.840,0.000,0.000,2.354,6.194,66.314,67.080,"67.217;66.393;66.348;67.090;66.557;66.314;66.702;66.829;66.534;66.554;66.924;66.723;72.717;66.820;67.353;67.477;66.738;66.843;66.448;67.019"
anf,base2x,8,1385,1372,220552,204878,3.840,0.000,2.387,2.490,8.717,2.067,2.169,"2.215;2.082;2.327;2.205;2.078;2.075;2.356;2.067;2.353;2.070;2.101;2.345;2.196;2.082;2.081;2.103;2.122;2.245;2.128;2.158"
anf,base2x,64,1385,1372,220552,204878,3.840,0.000,2.387,2.490,8.717,16.453,16.679,"17.047;16.522;16.486;16.977;16.516;16.603;16.453;16.943;16.574;16.704;16.776;16.868;16.532;16.764;16.701;16.645;16.627;16.603;16.628;16.612"
anf,base2x,256,1385,1372,220552,204878,3.840,0.000,2.387,2.490,8.717,65.901,66.528,"65.976;66.312;66.080;67.973;66.414;66.368;67.051;66.472;66.066;66.237;66.289;66.493;66.607;66.431;66.647;66.360;66.848;66.324;67.707;65.901"
