sanitizer_spec,pipeline_config,corpus_size_mb,traps_before_pass_n,traps_after_pipeline_n,traps_eliminated_n,traps_eliminated_pct,binary_file_bytes,binary_text_bytes,binary_file_vs_base,binary_text_vs_base,binary_file_vs_base2x,binary_text_vs_base2x,frontend_clang_O3_s,oracle_smt_pass_s,oracle_avg_per_trap_ms,extra_opt_O3_s,backend_llc_link_s,total_compile_s,compile_overhead_vs_base_pct,avg_runtime_s,runtime_vs_base_avg,runtime_vs_base2x_avg,runtime_vs_unsanitized_avg,raw_runtimes_s
none,base,8,0,0,0,0.0%,173280,147456,(reference),(reference),,,1.067,0.000,,0.000,0.788,1.855,+0.0%,0.777,(reference),,(reference),0.795;0.813;0.775;0.776;0.770;0.769;0.770;0.767;0.771;0.768
none,base,64,0,0,0,0.0%,173280,147456,(reference),(reference),,,1.067,0.000,,0.000,0.788,1.855,+0.0%,6.181,(reference),,(reference),6.132;6.458;6.170;6.154;6.198;6.164;6.125;6.153;6.119;6.137
none,base,256,0,0,0,0.0%,173280,147456,(reference),(reference),,,1.067,0.000,,0.000,0.788,1.855,+0.0%,24.749,(reference),,(reference),25.557;25.285;24.989;24.625;24.573;24.551;24.465;24.468;24.478;24.496
both,base,8,1299,1299,0,0.0%,189792,163840,(reference),(reference),,,1.147,0.000,,0.000,0.815,1.962,+0.0%,0.780,(reference),,0.4% slowdown,0.794;0.801;0.784;0.778;0.774;0.771;0.770;0.772;0.786;0.770
both,base,64,1299,1299,0,0.0%,189792,163840,(reference),(reference),,,1.147,0.000,,0.000,0.815,1.962,+0.0%,6.217,(reference),,0.6% slowdown,6.337;6.514;6.256;6.174;6.154;6.166;6.155;6.137;6.165;6.111
both,base,256,1299,1299,0,0.0%,189792,163840,(reference),(reference),,,1.147,0.000,,0.000,0.815,1.962,+0.0%,24.763,(reference),,0.1% slowdown,24.926;26.016;24.773;24.748;24.518;24.581;24.507;24.574;24.499;24.486
both,base2x,8,1299,1299,0,0.0%,189792,163840,+0 B (+0.00%),+0 B (+0.00%),,,1.147,0.000,,0.693,0.809,2.649,+35.0%,0.779,0.1% speedup,,0.3% slowdown,0.817;0.796;0.773;0.776;0.774;0.774;0.769;0.771;0.768;0.775
both,base2x,64,1299,1299,0,0.0%,189792,163840,+0 B (+0.00%),+0 B (+0.00%),,,1.147,0.000,,0.693,0.809,2.649,+35.0%,6.202,0.2% speedup,,0.3% slowdown,6.373;6.234;6.335;6.166;6.169;6.175;6.164;6.142;6.111;6.152
both,base2x,256,1299,1299,0,0.0%,189792,163840,+0 B (+0.00%),+0 B (+0.00%),,,1.147,0.000,,0.693,0.809,2.649,+35.0%,24.733,0.1% speedup,,0.1% speedup,24.884;25.329;24.902;24.547;24.643;24.676;24.599;24.619;24.550;24.585
both,oracle,8,1299,1151,148,11.4%,189792,163840,+0 B (+0.00%),+0 B (+0.00%),+0 B (+0.00%),+0 B (+0.00%),1.147,12.293,9.5,0.694,0.818,14.952,+662.1%,0.780,no change,0.1% slowdown,0.4% slowdown,0.770;0.815;0.795;0.773;0.775;0.774;0.787;0.773;0.770;0.773
both,oracle,64,1299,1151,148,11.4%,189792,163840,+0 B (+0.00%),+0 B (+0.00%),+0 B (+0.00%),+0 B (+0.00%),1.147,12.293,9.5,0.694,0.818,14.952,+662.1%,6.194,0.4% speedup,0.1% speedup,0.2% slowdown,6.277;6.357;6.189;6.156;6.183;6.156;6.162;6.162;6.122;6.175
both,oracle,256,1299,1151,148,11.4%,189792,163840,+0 B (+0.00%),+0 B (+0.00%),+0 B (+0.00%),+0 B (+0.00%),1.147,12.293,9.5,0.694,0.818,14.952,+662.1%,24.796,0.1% slowdown,0.3% slowdown,0.2% slowdown,24.883;25.190;25.447;24.698;24.781;24.725;24.547;24.616;24.549;24.519
