spec,variant,tu,traps,unsat,sat,unknown,vacuous,skips,wall_s
signed,light,entropy_common,6,0,2,0,0,0,0.2
signed,ldeq,entropy_common,6,0,2,0,0,0,0.1
signed,light,fse_decompress,2,0,0,0,0,0,0.0
signed,ldeq,fse_decompress,2,0,0,0,0,0,0.0
signed,light,fse_compress,4,0,1,0,0,0,0.4
signed,ldeq,fse_compress,4,0,1,0,0,0,0.3
signed,light,huf_compress,28,1,7,0,0,0,0.2
signed,ldeq,huf_compress,28,1,7,0,0,0,0.2
signed,light,zstd_compress,7,0,6,0,0,0,0.3
signed,ldeq,zstd_compress,7,0,6,0,0,0,0.3
signed,light,zstd_compress_literals,1,0,1,0,0,0,0.0
signed,ldeq,zstd_compress_literals,1,0,1,0,0,0,0.0
signed,light,zstd_double_fast,4,0,4,0,0,0,0.1
signed,ldeq,zstd_double_fast,4,0,4,0,0,0,0.1
signed,light,zstd_lazy,100,0,100,0,0,0,1.0
signed,ldeq,zstd_lazy,100,0,100,0,0,0,1.1
signed,light,zstdmt_compress,2,0,2,0,0,0,0.1
signed,ldeq,zstdmt_compress,2,0,2,0,0,0,0.1
signed,light,zstd_opt,5,0,2,0,0,0,0.2
signed,ldeq,zstd_opt,5,0,2,0,0,0,0.3
signed,light,zstd_preSplit,13,0,4,0,0,0,2.8
signed,ldeq,zstd_preSplit,13,0,4,0,0,0,2.9
signed,light,huf_decompress,5,0,2,0,0,0,0.1
signed,ldeq,huf_decompress,5,0,2,0,0,0,0.1
signed,light,zstd_decompress_block,6,2,4,0,0,0,1.9
signed,ldeq,zstd_decompress_block,6,2,4,0,0,0,2.4
signed,light,zstd_decompress,1,0,1,0,0,0,0.2
signed,ldeq,zstd_decompress,1,0,1,0,0,0,0.2
unsigned,light,entropy_common,26,2,24,0,0,0,0.2
unsigned,ldeq,entropy_common,26,2,24,0,0,0,0.3
unsigned,light,fse_decompress,149,42,107,0,0,0,2.9
unsigned,ldeq,fse_decompress,149,42,107,0,0,0,3.3
unsigned,light,xxhash,175,62,109,0,61,0,8.5
