# GEMM dimension sweep: arm1 = all checks, arm2 = all @inbounds (== ODeSSy, 16/16 proven)
# REPS=11 rotated reps per shape, medians of seconds; gate = bitwise-equal C
#   m     n     k    flops(G)   arm1_s    arm2_s   speedup  ceiling%  gate
64    64    64         0.0    0.0004    0.0001   6.771x    577.1  ok
128   128   128        0.0     0.003    0.0005   6.221x    522.1  ok
256   256   256       0.03    0.0226    0.0055   4.076x    307.6  ok
512   512   512       0.27    0.1771    0.0403   4.392x    339.2  ok
1024  1024  1024      2.15    1.4037     0.326   4.305x    330.5  ok
2048  2048  2048     17.18   12.8787    6.8508    1.88x     88.0  ok
4096  128   128       0.13    0.0872    0.0296   2.948x    194.8  ok
128   4096  128       0.13     0.094    0.0149   6.314x    531.4  ok
128   128   4096      0.13    0.0942    0.0209   4.503x    350.3  ok
8     2048  2048      0.07    0.1157     0.033   3.502x    250.2  ok
32    2048  2048      0.27    0.2057    0.0516   3.987x    298.7  ok
2048  32    2048      0.27    0.2005     0.107   1.873x     87.3  ok
2048  2048  32        0.27    0.1759    0.0452   3.888x    288.8  ok
