ninja: no work to do.
==== dial matrix: threads [1 2 4 8 16] x timeout [1 10 100 1000 10000] ms, REPS=3, input=evaluation/zlib/deflate_integer_unsigned_O1.ll ====
 threads timeout_ms    rep   wall_s  unsat    sat  unknown
       1          1      1   10.909     19     69      369
       1          1      2   11.022     18     67      372
       1          1      3   10.994     19     68      370
       1         10      1   12.595     43    323       91
       1         10      2   12.597     43    324       90
       1         10      3   12.744     43    326       88
       1        100      1   14.342     50    405        2
       1        100      2   14.540     50    405        2
       1        100      3   13.732     50    405        2
       1       1000      1   16.143     50    405        2
       1       1000      2   15.965     50    405        2
       1       1000      3   16.096     50    405        2
       1      10000      1   16.238     52    405        0
       1      10000      2   16.710     52    405        0
       1      10000      3   16.741     52    405        0
       2          1      1    6.693     17     68      372
       2          1      2    6.816     17     66      374
       2          1      3    6.688     17     68      372
       2         10      1    7.625     43    322       92
       2         10      2    7.484     43    324       90
       2         10      3    7.537     43    322       92
       2        100      1    8.242     50    405        2
       2        100      2    8.299     50    405        2
       2        100      3    8.233     50    405        2
       2       1000      1    9.087     50    405        2
       2       1000      2    9.142     50    405        2
       2       1000      3    9.059     50    405        2
       2      10000      1    9.257     52    405        0
       2      10000      2    9.542     52    405        0
       2      10000      3    9.300     52    405        0
       4          1      1    4.492     16     64      377
       4          1      2    4.508     16     66      375
       4          1      3    4.492     17     65      375
       4         10      1    4.891     43    316       98
       4         10      2    4.900     43    317       97
       4         10      3    4.943     43    319       95
       4        100      1    5.255     50    405        2
       4        100      2    5.281     49    405        3
       4        100      3    5.323     50    405        2
       4       1000      1    5.674     50    405        2
       4       1000      2    5.676     50    405        2
       4       1000      3    5.726     50    405        2
       4      10000      1    5.797     52    405        0
       4      10000      2    5.716     52    405        0
       4      10000      3    6.065     52    405        0
       8          1      1    3.549     16     63      378
       8          1      2    3.548     16     60      381
       8          1      3    3.542     16     63      378
       8         10      1    3.680     43    308      106
       8         10      2    3.725     43    310      104
       8         10      3    3.724     43    308      106
       8        100      1    3.895     49    405        3
       8        100      2    3.899     48    404        5
       8        100      3    3.904     50    405        2
       8       1000      1    3.997     50    405        2
       8       1000      2    4.022     50    405        2
       8       1000      3    4.010     50    405        2
       8      10000      1    4.216     52    405        0
       8      10000      2    4.382     52    405        0
       8      10000      3    4.447     52    405        0
      16          1      1    3.499     11     31      415
      16          1      2    3.497     11     33      413
      16          1      3    3.508     10     33      414
      16         10      1    3.580     41    266      150
      16         10      2    3.519     41    273      143
      16         10      3    3.610     38    273      146
      16        100      1    3.652     48    396       13
      16        100      2    3.639     48    401        8
      16        100      3    3.657     48    401        8
      16       1000      1    3.693     50    405        2
      16       1000      2    3.622     50    405        2
      16       1000      3    3.666     50    405        2
      16      10000      1    4.097     52    405        0
      16      10000      2    4.128     52    405        0
      16      10000      3    4.250     52    405        0
CSV: /mydata/ODeSSy/evaluation/dial_matrix.csv   (then: python3 tools/plot_dial_matrix.py)
