kernel                 config          UNSAT  folds    SAT   UNKN   wall_s
jl_filt_dsp            light               0      0     19      0        0
jl_filt_dsp            heavy               6      0     13      0        3
jl_filt_dsp            +ldeq               6      0     13      0        5
jl_filt_dsp            +frame              6      0     13      0        2
jl_filt_dsp            +ind                6      0     13      0        3
jl_filt_dsp            +mv+narrow          6      0     13      0        5
jl_filt_dsp            PROD-nophiinv       6      0     13      0        5
jl_filt_dsp_guarded    light               5      0      5      0        0
jl_filt_dsp_guarded    heavy               8      0      2      0        1
jl_filt_dsp_guarded    +ldeq               8      0      2      0        1
jl_filt_dsp_guarded    +frame              8      0      2      0        0
jl_filt_dsp_guarded    +ind                8      0      2      0        1
jl_filt_dsp_guarded    +mv+narrow          8      0      2      0        1
jl_filt_dsp_guarded    PROD-nophiinv       8      0      2      0        2
jl_gemm_base           light               0      0     16      0        0
jl_gemm_base           heavy               4      0     12      0        1
jl_gemm_base           +ldeq               4      0     12      0        1
jl_gemm_base           +frame             16      0      0      0        1
jl_gemm_base           +ind               16      0      0      0        2
jl_gemm_base           +mv+narrow         16      0      0      0        2
jl_gemm_base           PROD-nophiinv      16      0      0      0        1
jl_poly                light               0      0      1      0        0
jl_poly                heavy               1      0      0      0        0
jl_poly                +ldeq               1      0      0      0        1
jl_poly                +frame              1      0      0      0        0
jl_poly                +ind                1      0      0      0        0
jl_poly                +mv+narrow          1      0      0      0        0
jl_poly                PROD-nophiinv       1      0      0      0        0
lz77                   light               0      0      4      0        0
lz77                   heavy               0      0      4      0        0
lz77                   +ldeq               0      0      4      0        0
lz77                   +frame              0      0      4      0        1
lz77                   +ind                0      0      4      0        0
lz77                   +mv+narrow          0      4      4      0       36
lz77                   PROD-nophiinv       0      3      4      0       18
lz77_bounded           light               0      0      4      0        1
lz77_bounded           heavy               2      0      2      0        0
lz77_bounded           +ldeq               2      0      2      0        0
lz77_bounded           +frame              2      0      2      0        1
lz77_bounded           +ind                2      0      2      0        0
lz77_bounded           +mv+narrow          2      2      2      0       50
lz77_bounded           PROD-nophiinv       2      1      2      0       18
lz77_bounded2          light               0      0      4      0        0
lz77_bounded2          heavy               4      0      0      0       18
