kernel                 budget  UNSAT   ind  folds    SAT   UNKN   wall_s
jl_filt_dsp            300         5     1      0     13      1        4
jl_filt_dsp            1000        5     1      0     13      1        7
jl_filt_dsp            3000        6     0      0     13      0        5
jl_filt_dsp            10000       6     0      0     13      0        4
jl_filt_dsp_guarded    300         7     0      0      2      1        1
jl_filt_dsp_guarded    1000        8     0      0      2      0        1
jl_filt_dsp_guarded    3000        8     0      0      2      0        1
jl_filt_dsp_guarded    10000       8     0      0      2      0        1
jl_gemm_base           300        15     0      0      0      1        2
jl_gemm_base           1000       16     0      0      0      0        1
jl_gemm_base           3000       16     0      0      0      0        2
jl_gemm_base           10000      16     0      0      0      0        1
jl_poly                300         1     0      0      0      0        0
jl_poly                1000        1     0      0      0      0        1
jl_poly                3000        1     0      0      0      0        0
jl_poly                10000       1     0      0      0      0        0
lz77                   300         0     0      2      4      0        2
lz77                   1000        0     0      2      4      0        3
lz77                   3000        0     0      4      4      0       36
lz77                   10000       0     0      4      4      0       37
lz77_bounded           300         2     0      0      2      0        1
lz77_bounded           1000        2     0      0      2      0        4
lz77_bounded           3000        2     0      1      2      0       20
lz77_bounded           10000       2     0      2      2      0       50
lz77_bounded2          300         2     0      0      0      2        3
lz77_bounded2          1000        2     0      0      0      2       10
lz77_bounded2          3000        2     0      0      0      2       26
lz77_bounded2          10000       4     1      0      0      0       39
matmul                 300         0     0      3      3      0        8
matmul                 1000        0     0      3      3      0       15
matmul                 3000        0     0      3      3      0       33
matmul                 10000       0     0      3      3      0       95
sha256                 300        10     0      4      6      0        5
sha256                 1000       10     0      6      6      0        9
sha256                 3000       10     0      6      6      0        9
sha256                 10000      10     0      6      6      0       11
lz77                   300         1     1      0      2      0        1
lz77                   1000        1     0      0      2      0        1
lz77                   3000        1     0      0      2      0        0
lz77                   10000       1     0      0      2      0        1
matmul                 300         0     0      2      5      0        0
matmul                 1000        0     0      2      5      0        0
matmul                 3000        0     0      2      5      0        0
matmul                 10000       0     0      2      5      0        0
adler32                300         1     0      1     36      0        1
adler32                1000        1     0      1     36      0        0
adler32                3000        1     0      1     36      0        0
adler32                10000       1     0      1     36      0        0
base64                 300         2     0      5     25      0        1
base64                 1000        2     0      5     25      0        0
base64                 3000        2     0      5     25      0        1
base64                 10000       2     0      5     25      0        0
crc32                  300         4     4      6     32      0        1
crc32                  1000        4     4      6     32      0        0
crc32                  3000        4     4      6     32      0        1
crc32                  10000       4     4      6     32      0        0
lz77                   300         4     0      1     20      1        2
lz77                   1000        5     0      1     20      0        1
lz77                   3000        5     0      1     20      0        0
lz77                   10000       5     0      1     20      0        1
md5                    300         5     0      0     20      0        0
md5                    1000        5     0      0     20      0        1
md5                    3000        5     0      0     20      0        0
md5                    10000       5     0      0     20      0        0
nbody                  300         0     0      0     84      0        2
nbody                  1000        0     0      0     84      0        2
nbody                  3000        0     0      0     84      0        2
nbody                  10000       0     0      0     84      0        2
sha1                   300         7     0      0     17      0        0
sha1                   1000        7     0      0     17      0        1
sha1                   3000        7     0      0     17      0        0
sha1                   10000       7     0      0     17      0        0
sha256                 300         7     0      1     29      0        1
sha256                 1000        7     0      1     29      0        0
sha256                 3000        7     0      1     29      0        1
sha256                 10000       7     0      1     29      0        0
utf8                   300         3     1      1     17      0        1
utf8                   1000        3     1      1     17      0        0
utf8                   3000        3     1      1     17      0        0
utf8                   10000       3     1      1     17      0        0
